observed_on,latitude,longitude
2017-03-11,34.749275,-118.3951
2017-03-21,34.7398433333,-118.3850183333
2017-03-21,34.73723,-118.376
2017-03-12,34.7249116,-118.3969062
2017-03-24,34.7513712,-118.2522977
2017-03-25,34.724445343,-118.3772201538
2017-03-28,34.7336666667,-118.3861466667
2017-03-31,34.7342581879,-118.3961592416
2017-03-31,34.7244342377,-118.386118412
2017-04-04,34.723995,-118.3824533333
2017-04-09,34.7324466667,-118.3965916667
2017-04-09,34.7368616667,-118.389525
2017-04-01,34.7319535003,-118.3914140984
2017-04-08,34.7327716667,-118.3921666667
2017-04-01,34.7309115053,-118.3950010794
2017-04-14,34.7519216667,-118.3742666667
2017-04-14,34.7348625875,-118.395448811
2017-03-31,34.7338276389,-118.3961977222
2017-05-14,34.7311666667,-118.3969944444
2017-03-26,34.7372866667,-118.3760216667
2017-04-29,34.7360321318,-118.392306009
2017-04-15,34.7367466667,-118.376205
2017-04-03,34.7249903419,-118.3969411254
2018-04-13,34.7183716667,-118.4060966667
2018-04-14,34.7294598315,-118.3918275186
2018-04-13,34.7351745302,-118.3919953001
2017-03-19,34.731875,-118.3903116667
2017-03-20,34.7381896973,-118.3755645752
2018-03-31,34.7332269722,-118.4034429722
2017-04-15,34.7249116,-118.3969062
2017-04-08,34.7312444444,-118.3780583333
2018-04-26,34.7257640907,-118.3919566141
2019-03-10,34.73418979,-118.39418531
2019-03-12,34.7365570068,-118.3897476196
2019-03-13,34.7353883333,-118.390975
2019-03-13,34.73548,-118.3909216667
2019-03-17,34.7167549236,-118.361846516
2019-03-17,34.7580024275,-118.3945993086
2019-03-17,34.7341880798,-118.3919677734
2019-03-17,34.7355384827,-118.3883590698
2017-04-09,34.7254089879,-118.3969307721
2019-03-21,34.7309333333,-118.3925866667
2019-03-20,34.73450033,-118.39073642
2019-03-14,34.72376,-118.37577
2019-03-10,34.7345223182,-118.3911145455
2019-03-22,34.7327766418,-118.3961105347
2019-03-24,34.73635,-118.3869383333
2019-03-25,34.7317547222,-118.3932630556
2019-03-27,34.7347165868,-118.3943742655
2019-03-28,34.7328876898,-118.3967922607
2019-03-25,34.731730666,-118.3934876925
2019-03-29,34.7330675131,-118.3965968838
2019-03-28,34.7039583333,-118.3144466667
2019-03-30,34.7326805969,-118.392562706
2019-03-27,34.7239633333,-118.38562
2019-03-30,34.7363383333,-118.386995
2019-03-30,34.7345171302,-118.3918624903
2019-03-27,34.7317966667,-118.3931416667
2019-03-16,34.7345716667,-118.3904633333
2019-04-01,34.70393246,-118.32993557
2019-03-31,34.7249116,-118.3969062
2019-03-28,34.7400616667,-118.4239933333
2019-03-29,34.7326766488,-118.3916575408
2017-03-31,34.7245216667,-118.38167
2019-03-25,34.7249638323,-118.3940126261
2019-04-02,34.7337083333,-118.3939366667
2019-03-28,34.7504733333,-118.4237516667
2019-04-03,34.7320866667,-118.3940666667
2019-03-30,34.7333716667,-118.4011833333
2019-03-30,34.724889555,-118.3971327825
2019-04-07,34.73298154,-118.39183204
2019-04-07,34.7340616667,-118.3927533333
2019-04-07,34.7322798282,-118.4262831988
2019-04-07,34.7324095854,-118.3717316706
2019-04-07,34.7269364505,-118.4097139812
2019-04-06,34.7431335449,-118.3880233765
2019-03-28,34.7071583333,-118.36245
2019-03-28,34.7297683333,-118.3949583333
2019-04-09,34.7250912,-118.37843679
2019-03-31,34.7325533333,-118.3915716667
2019-04-10,34.73289379,-118.40423457
2019-04-14,34.7426528931,-118.3978729248
2019-03-30,34.732837677,-118.4001693726
2019-04-15,34.7577133333,-118.4316633333
2019-04-15,34.7577166667,-118.4316716667
2019-04-13,34.7331283333,-118.39685
2019-04-13,34.73633,-118.40397
2019-04-13,34.7330366667,-118.3938666667
2019-04-15,34.7242851257,-118.3850479126
2019-04-03,34.7285824901,-118.3909366652
2019-04-13,34.7392383333,-118.4225166667
2019-04-17,34.72515127,-118.3968623355
2019-04-17,34.735795,-118.3682783333
2019-04-20,34.73327659,-118.39824853
2019-04-20,34.7312283333,-118.39692
2019-04-19,34.7327765305,-118.3997192234
2019-04-23,34.7051166667,-118.3244383333
2019-04-08,34.754391126,-118.3910011809
2019-04-16,34.71953,-118.36702
2019-04-16,34.724912909,-118.3969116211
2019-04-16,34.73031,-118.3986382
2019-03-29,34.7502550396,-118.3805418311
2019-04-25,34.7320861816,-118.3941040039
2019-04-01,34.7332633333,-118.3971166667
2019-04-04,34.7180437582,-118.3905797554
2019-04-20,34.736625,-118.4034283333
2019-04-01,34.726345,-118.3849333333
2019-03-30,34.7260366667,-118.3847283333
2019-04-01,34.7239761353,-118.3856201172
2019-04-19,34.73323,-118.3937133333
